,Unnamed: 0,W1,W1f,W2,W2f,W3,W3f,W4,W4f,U,Uf,B,Bf,V,Vf,R,Rf,I,If,J,Jf,H,Hf,K,Kf,u,uf,g,gf,r,rf,i,if,z,zf
0,0,,,,,,,,,0.59,2867.693627050007,0.65,2799.688308052749,0.99,2443.68731294865,1.27,2184.764609268219,1.75,1803.101238066608,2.41,1384.734040157402,2.93,1124.6907313903946,3.49,898.9823230852928,,,,,,,,,,
1,1,,,,,,,,,3.25,989.5629405064996,1.09,2347.868962871581,-0.03,3674.834480872728,-0.82,5040.514158382856,-1.23,5938.805936834226,-1.342,6210.914157461832,-1.42,6407.749341027216,-1.061,5550.611447619244,,,,,,,,,,
2,2,,,,,,,,,15.0,9.000349153475547,12.86,21.18436419125041,11.15,41.98294109679826,9.66,76.1925258111786,7.86,156.5324554293269,6.267,296.0307610569936,6.225,301.0460886344521,6.234,299.96427115519333,,,,,,,,,,
3,3,,,,,,,,,,,13.04,19.712705388075086,12.14,28.25480047329011,12.1,28.710513261335787,,,10.008,66.29161187162144,9.61,77.73171693258757,9.586,78.48153478222643,,,12.65,23.040726591372977,11.57,35.49044024751856,10.98,44.93708369792066,,
4,4,9.86,70.33456604878462,9.601,78.01205542005681,9.01,98.81637910357588,7.941,151.54208443356492,,,,,,,,,,,10.9,46.398325555464346,10.215,61.023764569638,9.912,68.88671690547172,,,,,,,,,,
5,5,,,,,,,,,,,12.96,,14.85,9.55689966282893,14.32,11.813741306113442,,,12.602,23.487382719566053,12.343,26.051187990837605,11.787,32.53978099428385,13.859,14.205985237682496,12.99,20.11092845246684,12.871,21.09135775302333,12.63,23.225791677435478,13.242,18.182568700301893
